cnpj,razao_social,nome_fantasia,segmento,sub_segmento,endereco,cidade,ring,telefone,whatsapp,email,instagram,website,google_maps_url,google_rating,google_reviews,porte,foco_felino,potencial_b2b,notas,lat,lng,completeness_score,bairro,fonte_enriquecimento,horario,facebook,fonte_descoberta,data_discovery,marketplace_ifood,marketplace_rappi,marketplace_ml,marketplace_shopee,rating_marketplace,digital_maturity,batch_source,categorias_google,cnae_principal,cnae_descricao,uf,cep,situacao_cadastral,data_abertura,natureza_juridica,capital_social,telefone_receita,email_receita,ja_no_crm
19.055.885/0002-35,Pet Para Pets Comércio e Participações Ltda,Pet Para Pets,pet_shop,megaloja,"Av. Goiás, 1400 - Santa Paula",São Caetano do Sul,1_abc,(11) 4227-6000,(11) 94529-7345,,@petparapetsoficial,https://www.petparapets.com.br/,https://www.google.com/maps/search/?api=1&query=Pet+Para+Pets+Av.+Goiás+1400+São+Caetano+do+Sul,4.6,1100,medio,false,medio,"Grande rede, bom volume de clientes. Endereço pode variar.",-23.620885,-46.5688,5,,,,,,,,,,,,,,,,,,,,,,,,,
17.711.811/0002-84,COESA COMERCIO E SERVICOS LTDA - EPP,AnimaPets,pet_shop,venda_filhotes,"Av. Goiás, 315 - Santo Antônio",São Caetano do Sul,1_abc,(11) 2376-8107,(11) 91090-5414,,,https://www.animapets.com.br/,"https://www.google.com/maps/search/?api=1&query=AnimaPets+Av.+Goiás,+315+-+São+Caetano+do+Sul",4.9,1100,epp,false,baixo,"Foco em venda de filhotes, menos em produtos/serviços recorrentes.",-23.6288,-46.569214,5,,,,,,,,,,,,,,,,,,,,,,,,,
48.807.594/0001-73,Pets House Centro Veterinário e Pet Shop Ltda.,Pets House,clinica_vet,24h,"Av. Goiás, 269 - Santo Antônio",São Caetano do Sul,1_abc,(11) 4234-2384,(11) 97727-0001,,@_petshouse,,https://www.google.com/maps/search/?api=1&query=Pets+House+Centro+Veterinário+São+Caetano,4.9,130,epp,true,alto,"Clínica 24h com bom foco em gatos, Dra. Larissa é especialista.",-23.625108,-46.565586,4,,,,,,,,,,,,,,,,,,,,,,,,,
53.153.938/0016-94,Cobasi São Caetano LTDA,Cobasi,pet_shop,megaloja,"Alameda Caulim, 125",São Caetano do Sul,1_abc,(11) 4233-8202,,,,https://www.cobasi.com.br/,,4.5,500+,grande,false,alto,"Rede nacional, alto volume",-23.620163,-46.568604,5,,,,,,,,,,,,,,,,,,,,,,,,,
,Planet Dog Boutique Pet,Planet Dog,pet_shop,boutique,"Alameda Terracota, 545 - ParkShopping",São Caetano do Sul,1_abc,(11) 4221-7513,(11) 98988-3397,,@planetdogsaocaetano,https://planetdog.pet,,,,me,false,medio,Pet shop boutique premium,-23.623925,-46.569062,4,Cerâmica,serper+fetch:parkshoppingsaocaetano.com.br+encontrasaocaetano.com.br+instagram.com/planetdogsaocaetano,,,,,,,,,,,,,,,,,,,,,,,
,Dog's Day LTDA,Dog's Day,pet_shop,local,"R. Visc. de Inhaúma, 65 - Oswaldo Cruz",São Caetano do Sul,1_abc,(11) 97552-7313,,,@dogsdayscs,,,,,me,false,medio,"Seg-Sex 8h30-20h, Sáb 8h30-19h",-23.621251,-46.571957,3,Osvaldo Cruz,serper:guiafacil.com+petboop.com+facebook.com/dogsdayscs,,,,,,,,,,,,,,,,,,,,,,,
,Climeve Hospital Veterinário,Climeve,clinica_vet,hospital_24h,"Av. Brasília, 265 - Vila Bela Vista",Santo André,1_abc,,,,,,,,,epp,false,alto,Hospital 24h completo,-23.677488,-46.545609,2,,,,,,,,,,,,,,,,,,,,,,,,,
,PETPOP SBC Centro Veterinário Popular,PETPOP SBC,clinica_vet,popular,"R. Helena Jacquey, 294 - Rudge Ramos",São Bernardo do Campo,1_abc,(11) 2578-4219,,falecom@petpopsbc.com.br,,https://www.petpopsbc.com.br/,,,,me,false,medio,Preços populares,-23.672501,-46.54284,4,,,,,,,,,,,,,,,,,,,,,,,,,
,Clínica Veterinária Santo André LTDA,CV Santo André,clinica_vet,24h,"R. das Esmeraldas, 378 - Jardim",Santo André,1_abc,(11) 2379-0793,(11) 91833-4716,cvsantoandre@gmail.com,@cvsantoandre,,,,,epp,false,alto,"Fundada 2005, emergências",-23.675936,-46.542486,4,,serper,,,,,,,,,,,,,,,,,,,,,,,
,Cão Bernardo Hospital Veterinário,Cão Bernardo,clinica_vet,hospital_24h,,São Bernardo do Campo,1_abc,(11) 4930-4551,(11) 94006-5777,,,https://caobernardo.com.br/,,,,epp,false,alto,Hospital 24h especializado,-23.688925,-46.568648,3,,,,,,,,,,,,,,,,,,,,,,,,,
34.397.523/0001-35,Pet Store Drogaria e Clínica Veterinária LTDA,Pet Store Drogaria,pet_shop,drogaria_vet,"Av. Assembleia, 747 - Centro",Diadema,1_abc,,,,,,,,,epp,false,medio,Drogaria + clínica,-23.679153,-46.621015,3,Centro,serper:facebook.com/petstoredrogaria+cnpj.biz,,,,,,,,,,,,,,,,,,,,,,,
